temperature_2m_max (°F),time
58,2023-11-01
57.2,2023-11-02
51.9,2023-11-03
52.1,2023-11-04
54.3,2023-11-05
54.7,2023-11-06
53.4,2023-11-07
51.5,2023-11-08
53,2023-11-09
51.5,2023-11-10
48.4,2023-11-11
46.2,2023-11-12
51.8,2023-11-13
54.9,2023-11-14
47.3,2023-11-15
47.5,2023-11-16
42.4,2023-11-17
43.3,2023-11-18
52.8,2023-11-19
51.8,2023-11-20
39.3,2023-11-21
45.4,2023-11-22
51.5,2023-11-23
41.1,2023-11-24
37.4,2023-11-25
33.5,2023-11-26
35,2023-11-27
32.3,2023-11-28
33.5,2023-11-29
30,2023-11-30
26.9,2023-12-01
28.9,2023-12-02
30.3,2023-12-03
30.6,2023-12-04
32.2,2023-12-05
33.1,2023-12-06
33.9,2023-12-07
35,2023-12-08
40.4,2023-12-09
46.6,2023-12-10
47.3,2023-12-11
44.1,2023-12-12
41,2023-12-13
38,2023-12-14
43.3,2023-12-15
46.6,2023-12-16
49.7,2023-12-17
45.2,2023-12-18
44.9,2023-12-19
45.7,2023-12-20
47.8,2023-12-21
39.9,2023-12-22
44.9,2023-12-23
51.3,2023-12-24
50.6,2023-12-25
48.8,2023-12-26
47.3,2023-12-27
50.3,2023-12-28
51.3,2023-12-29
45.3,2023-12-30
45.5,2023-12-31
45.3,2024-01-01
48.1,2024-01-02
51.1,2024-01-03
41.9,2024-01-04
33.8,2024-01-05
32.5,2024-01-06
31.4,2024-01-07
25.1,2024-01-08
24.8,2024-01-09
28.8,2024-01-10
31.7,2024-01-11
34.5,2024-01-12
36,2024-01-13
37.2,2024-01-14
36.1,2024-01-15
34,2024-01-16
31.7,2024-01-17
32.9,2024-01-18
35.3,2024-01-19
37.5,2024-01-20
42.4,2024-01-21
47.9,2024-01-22
50.7,2024-01-23
50.1,2024-01-24
47,2024-01-25
48.4,2024-01-26
44.2,2024-01-27
43.5,2024-01-28
46.9,2024-01-29
47,2024-01-30
43.8,2024-01-31
46.1,2024-02-01
48.3,2024-02-02
50.7,2024-02-03
49.5,2024-02-04
48.7,2024-02-05
50.6,2024-02-06
43.4,2024-02-07
40.7,2024-02-08
46.3,2024-02-09
54.4,2024-02-10
50.4,2024-02-11
47.9,2024-02-12
46.9,2024-02-13
49,2024-02-14
56,2024-02-15
60.1,2024-02-16
49.8,2024-02-17
48.9,2024-02-18
47.5,2024-02-19
47.7,2024-02-20
51.3,2024-02-21
52.6,2024-02-22
48.3,2024-02-23
50.5,2024-02-24
52.4,2024-02-25
51,2024-02-26
44.6,2024-02-27
41.6,2024-02-28
48.8,2024-02-29
53.8,2024-03-01
52,2024-03-02
56,2024-03-03
54.4,2024-03-04
44.7,2024-03-05
44.9,2024-03-06
45.7,2024-03-07
45.8,2024-03-08
48.8,2024-03-09
53.5,2024-03-10
56.6,2024-03-11
56.1,2024-03-12
56.1,2024-03-13
57.8,2024-03-14
63,2024-03-15
54.2,2024-03-16
46.9,2024-03-17
42.9,2024-03-18
47.5,2024-03-19
60.7,2024-03-20
57.6,2024-03-21
55.5,2024-03-22
46.5,2024-03-23
43.5,2024-03-24
48.8,2024-03-25
55.2,2024-03-26
62.7,2024-03-27
56.1,2024-03-28
58.1,2024-03-29
71.2,2024-03-30
66.2,2024-03-31
66.9,2024-04-01
56.4,2024-04-02
52.7,2024-04-03
57.6,2024-04-04
65.9,2024-04-05
71.3,2024-04-06
71.9,2024-04-07
78,2024-04-08
77.9,2024-04-09
56.4,2024-04-10
60.4,2024-04-11
66.4,2024-04-12
69.8,2024-04-13
59.9,2024-04-14
