temperature_2m_max (°F),time
53.1,2014-10-28
50.2,2014-10-29
49,2014-10-30
57.5,2014-10-31
61.8,2014-11-01
61.8,2014-11-02
62.5,2014-11-03
58.7,2014-11-04
55.1,2014-11-05
51.2,2014-11-06
51.2,2014-11-07
54.1,2014-11-08
48.3,2014-11-09
51.2,2014-11-10
52.9,2014-11-11
58.2,2014-11-12
54.2,2014-11-13
54.5,2014-11-14
54.5,2014-11-15
53.1,2014-11-16
52.1,2014-11-17
47.3,2014-11-18
41.2,2014-11-19
42,2014-11-20
44.9,2014-11-21
43.6,2014-11-22
46.9,2014-11-23
48.5,2014-11-24
42.4,2014-11-25
42.5,2014-11-26
40.9,2014-11-27
36.6,2014-11-28
33.2,2014-11-29
32.4,2014-11-30
30.2,2014-12-01
30.4,2014-12-02
31.8,2014-12-03
39.9,2014-12-04
38,2014-12-05
40.2,2014-12-06
38.6,2014-12-07
40.4,2014-12-08
37.1,2014-12-09
38.2,2014-12-10
40.7,2014-12-11
49.1,2014-12-12
43.8,2014-12-13
41.2,2014-12-14
43.2,2014-12-15
42.9,2014-12-16
40.4,2014-12-17
52.5,2014-12-18
52.4,2014-12-19
43.9,2014-12-20
44,2014-12-21
50.7,2014-12-22
51.5,2014-12-23
50.4,2014-12-24
42.2,2014-12-25
33.5,2014-12-26
28.7,2014-12-27
29.2,2014-12-28
28.7,2014-12-29
33.5,2014-12-30
39.2,2014-12-31
39.9,2015-01-01
45.5,2015-01-02
41.2,2015-01-03
39.6,2015-01-04
38.6,2015-01-05
36.6,2015-01-06
40.4,2015-01-07
43.5,2015-01-08
46.6,2015-01-09
53,2015-01-10
40,2015-01-11
45.4,2015-01-12
52.1,2015-01-13
46.5,2015-01-14
48.3,2015-01-15
48.7,2015-01-16
40.6,2015-01-17
37.5,2015-01-18
37.2,2015-01-19
36.4,2015-01-20
34.6,2015-01-21
33.6,2015-01-22
35,2015-01-23
33,2015-01-24
38.2,2015-01-25
39.7,2015-01-26
40.1,2015-01-27
40.5,2015-01-28
37.3,2015-01-29
37.3,2015-01-30
33.9,2015-01-31
35.2,2015-02-01
37.1,2015-02-02
34.1,2015-02-03
32.3,2015-02-04
31.4,2015-02-05
30.5,2015-02-06
37.2,2015-02-07
36.4,2015-02-08
41.7,2015-02-09
41.5,2015-02-10
39.9,2015-02-11
43,2015-02-12
40.2,2015-02-13
40.8,2015-02-14
44,2015-02-15
40.4,2015-02-16
