temperature_2m_mean (°F),time
50.4,2021-10-28
47.7,2021-10-29
49.4,2021-10-30
54.7,2021-10-31
50.4,2021-11-01
46.2,2021-11-02
43.9,2021-11-03
44.8,2021-11-04
46.1,2021-11-05
48,2021-11-06
47.4,2021-11-07
47.1,2021-11-08
46.1,2021-11-09
39.4,2021-11-10
40.9,2021-11-11
43.2,2021-11-12
40.7,2021-11-13
40.9,2021-11-14
41.7,2021-11-15
41.4,2021-11-16
42.6,2021-11-17
45.8,2021-11-18
51.7,2021-11-19
50.5,2021-11-20
45.2,2021-11-21
36.8,2021-11-22
41.1,2021-11-23
43.5,2021-11-24
39,2021-11-25
36.7,2021-11-26
34.6,2021-11-27
33.1,2021-11-28
33.8,2021-11-29
38,2021-11-30
41.8,2021-12-01
34.5,2021-12-02
33.2,2021-12-03
35.3,2021-12-04
33.8,2021-12-05
31.6,2021-12-06
30.8,2021-12-07
30.3,2021-12-08
28.7,2021-12-09
29.4,2021-12-10
29,2021-12-11
33.7,2021-12-12
42.1,2021-12-13
44.2,2021-12-14
45.9,2021-12-15
44.1,2021-12-16
40.9,2021-12-17
42.5,2021-12-18
41.9,2021-12-19
32.1,2021-12-20
31.2,2021-12-21
28.8,2021-12-22
29.9,2021-12-23
33.9,2021-12-24
21.8,2021-12-25
18.6,2021-12-26
26.7,2021-12-27
31.2,2021-12-28
35.8,2021-12-29
47.4,2021-12-30
53.4,2021-12-31
51.5,2022-01-01
49.3,2022-01-02
46.5,2022-01-03
42.7,2022-01-04
38.4,2022-01-05
31.7,2022-01-06
33.1,2022-01-07
32.8,2022-01-08
33.6,2022-01-09
36.1,2022-01-10
27.9,2022-01-11
32.6,2022-01-12
38.9,2022-01-13
40.3,2022-01-14
32.4,2022-01-15
34.8,2022-01-16
38.2,2022-01-17
36.8,2022-01-18
38,2022-01-19
33.5,2022-01-20
31.3,2022-01-21
36.5,2022-01-22
41,2022-01-23
40.7,2022-01-24
39,2022-01-25
37.5,2022-01-26
39.4,2022-01-27
38.9,2022-01-28
42,2022-01-29
40.8,2022-01-30
34.7,2022-01-31
36.9,2022-02-01
39,2022-02-02
39.3,2022-02-03
43.3,2022-02-04
38.9,2022-02-05
41.2,2022-02-06
38,2022-02-07
43.3,2022-02-08
47.3,2022-02-09
44.1,2022-02-10
37.9,2022-02-11
32.6,2022-02-12
37.3,2022-02-13
44.9,2022-02-14
43.3,2022-02-15
45.3,2022-02-16
45,2022-02-17
43.4,2022-02-18
41.1,2022-02-19
42,2022-02-20
41.6,2022-02-21
41.8,2022-02-22
42.2,2022-02-23
42.7,2022-02-24
38.4,2022-02-25
37.6,2022-02-26
33.5,2022-02-27
32.6,2022-02-28
32.9,2022-03-01
33.5,2022-03-02
30.2,2022-03-03
34.5,2022-03-04
31.8,2022-03-05
32.4,2022-03-06
35.2,2022-03-07
36,2022-03-08
37,2022-03-09
35.9,2022-03-10
34.6,2022-03-11
37.8,2022-03-12
40,2022-03-13
43.4,2022-03-14
46,2022-03-15
