latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2021-10-28,1,59.5,44.3,50.4,56.7,40.4,46.5,2021-10-28T05:56,2021-10-28T15:44,35283.43,30630.73,0.000,0.000,0.000,0.0,9.4,15.4,162,7.93,0.043
2021-10-29,1,57.3,41.0,47.7,53.2,35.5,43.0,2021-10-29T05:57,2021-10-29T15:42,35054.01,30442.99,0.000,0.000,0.000,0.0,8.1,13.9,162,8.01,0.042
2021-10-30,2,58.4,41.3,49.4,52.5,36.2,43.9,2021-10-30T05:59,2021-10-30T15:40,34826.56,30207.05,0.000,0.000,0.000,0.0,11.4,19.7,156,7.51,0.053
2021-10-31,3,62.4,49.7,54.7,59.4,43.3,49.6,2021-10-31T06:01,2021-10-31T15:38,34601.31,29043.18,0.000,0.000,0.000,0.0,11.5,19.0,168,7.20,0.066
2021-11-01,53,54.1,47.5,50.4,51.7,42.1,46.4,2021-11-01T06:03,2021-11-01T15:36,34378.51,1453.71,0.177,0.177,0.000,13.0,9.9,17.2,190,1.76,0.022
2021-11-02,53,51.8,38.9,46.2,49.0,33.8,42.9,2021-11-02T06:05,2021-11-02T15:34,34158.39,849.29,0.122,0.122,0.000,11.0,6.6,11.9,195,3.29,0.019
2021-11-03,3,50.8,38.4,43.9,47.0,33.6,39.4,2021-11-03T06:06,2021-11-03T15:32,33941.23,23252.41,0.000,0.000,0.000,0.0,7.6,15.0,148,5.77,0.026
2021-11-04,63,47.6,40.6,44.8,41.4,35.4,37.8,2021-11-04T06:08,2021-11-04T15:31,33726.91,0.00,1.303,1.303,0.000,16.0,23.1,40.0,308,0.74,0.010
2021-11-05,53,49.5,44.3,46.1,43.1,35.6,39.2,2021-11-05T06:10,2021-11-05T15:29,33513.39,12134.62,0.181,0.181,0.000,10.0,16.1,32.2,267,3.06,0.020
2021-11-06,51,52.4,44.8,48.0,45.8,38.2,40.6,2021-11-06T06:12,2021-11-06T15:27,33300.50,10625.82,0.008,0.008,0.000,2.0,16.3,27.7,238,4.01,0.040
2021-11-07,55,50.3,44.8,47.4,42.7,36.3,39.1,2021-11-07T06:14,2021-11-07T15:25,33088.49,13647.71,0.091,0.091,0.000,8.0,17.9,32.9,238,3.20,0.042
