latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2014-10-28,0,53.1,39.3,45.4,47.8,33.8,40.0,2014-10-28T05:55,2014-10-28T15:44,35350.64,30574.40,0.000,0.000,0.000,0.0,8.2,16.6,159,7.80,0.041
2014-10-29,3,50.2,38.6,43.5,45.7,32.8,38.6,2014-10-29T05:57,2014-10-29T15:42,35123.34,30409.69,0.000,0.000,0.000,0.0,8.1,16.3,206,7.62,0.033
2014-10-30,3,49.0,43.9,47.0,47.3,40.6,44.6,2014-10-30T05:59,2014-10-30T15:40,34898.46,0.00,0.000,0.000,0.000,0.0,4.4,7.6,183,1.19,0.012
2014-10-31,3,57.5,47.0,51.5,56.0,43.8,49.3,2014-10-31T06:00,2014-10-31T15:39,34676.24,950.74,0.000,0.000,0.000,0.0,6.2,13.6,159,2.60,0.019
2014-11-01,3,61.8,45.9,52.4,62.3,43.2,51.0,2014-11-01T06:02,2014-11-01T15:37,34456.55,29257.36,0.000,0.000,0.000,0.0,5.9,9.6,182,6.14,0.032
2014-11-02,1,61.8,45.8,52.9,60.0,42.1,50.1,2014-11-02T06:04,2014-11-02T15:35,34237.38,29316.43,0.000,0.000,0.000,0.0,9.0,15.7,187,6.67,0.036
2014-11-03,51,62.5,51.9,56.0,58.0,46.4,51.0,2014-11-03T06:06,2014-11-03T15:33,34018.55,26588.23,0.008,0.008,0.000,1.0,13.0,25.9,186,6.15,0.056
2014-11-04,3,58.7,47.1,51.8,54.7,42.0,46.8,2014-11-04T06:08,2014-11-04T15:31,33800.29,20369.13,0.000,0.000,0.000,0.0,11.8,22.8,162,5.05,0.047
2014-11-05,53,55.1,45.6,50.3,51.9,42.4,47.4,2014-11-05T06:10,2014-11-05T15:29,33582.80,13408.83,0.031,0.031,0.000,2.0,6.8,15.7,224,4.38,0.026
2014-11-06,51,51.2,45.8,48.9,47.5,42.2,45.4,2014-11-06T06:11,2014-11-06T15:28,33366.31,5800.70,0.020,0.020,0.000,4.0,9.0,16.6,250,2.82,0.020
