latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,0,GMT,GMT

time,weather_code (wmo code),temperature_2m_max (°F),temperature_2m_min (°F),temperature_2m_mean (°F),apparent_temperature_max (°F),apparent_temperature_min (°F),apparent_temperature_mean (°F),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (inch),rain_sum (inch),snowfall_sum (inch),precipitation_hours (h),wind_speed_10m_max (mp/h),wind_gusts_10m_max (mp/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (inch)
2023-10-20,55,45.1,41.3,43.1,39.8,31.0,34.6,2023-10-20T05:40,2023-10-20T16:01,37259.65,0.00,0.280,0.280,0.000,18.0,19.0,33.6,79,1.38,0.011
2023-10-21,3,63.1,43.0,51.2,61.0,36.7,47.4,2023-10-21T05:42,2023-10-21T15:59,37023.39,31130.57,0.000,0.000,0.000,0.0,14.2,28.6,167,6.90,0.039
2023-10-22,55,60.6,47.7,54.8,56.8,44.1,51.6,2023-10-22T05:44,2023-10-22T15:57,36788.83,29660.60,0.055,0.055,0.000,2.0,10.3,19.5,215,8.08,0.050
2023-10-23,51,58.8,46.8,52.2,57.3,44.0,49.7,2023-10-23T05:46,2023-10-23T15:55,36556.18,28795.94,0.012,0.012,0.000,2.0,8.0,13.2,213,7.68,0.040
2023-10-24,61,57.6,49.9,53.0,55.3,45.3,50.5,2023-10-24T05:47,2023-10-24T15:53,36325.63,0.00,0.354,0.354,0.000,10.0,11.0,19.0,109,2.86,0.021
2023-10-25,51,56.2,48.3,51.1,54.7,44.5,48.2,2023-10-25T05:49,2023-10-25T15:51,36097.06,23310.83,0.004,0.004,0.000,1.0,10.4,18.3,173,6.56,0.034
2023-10-26,61,52.5,47.0,49.7,49.3,44.3,46.6,2023-10-26T05:51,2023-10-26T15:49,35868.48,0.00,0.256,0.256,0.000,10.0,10.5,18.1,50,2.36,0.016
2023-10-27,61,51.7,47.4,49.1,47.8,44.3,46.2,2023-10-27T05:53,2023-10-27T15:47,35639.73,0.00,0.291,0.291,0.000,13.0,7.9,15.0,78,2.03,0.015
2023-10-28,53,53.5,47.4,49.5,51.6,43.8,46.8,2023-10-28T05:55,2023-10-28T15:45,35411.00,4475.84,0.189,0.189,0.000,13.0,7.1,13.9,155,3.42,0.020
2023-10-29,61,61.2,47.1,54.0,54.9,43.0,48.5,2023-10-29T05:56,2023-10-29T15:43,35182.50,4383.84,0.201,0.201,0.000,11.0,16.9,30.0,194,3.57,0.041
2023-10-30,3,59.6,52.2,55.1,57.0,46.8,51.0,2023-10-30T05:58,2023-10-30T15:41,34954.43,12570.26,0.000,0.000,0.000,0.0,14.5,25.7,200,5.14,0.044
2023-10-31,53,55.1,46.1,51.9,51.0,39.9,46.1,2023-10-31T06:00,2023-10-31T15:39,34726.99,13507.52,0.146,0.146,0.000,12.0,21.4,38.5,254,4.19,0.037
2023-11-01,51,58.0,43.7,50.5,53.4,39.1,46.4,2023-11-01T06:02,2023-11-01T15:37,34500.42,22065.50,0.012,0.012,0.000,2.0,11.7,21.7,180,5.32,0.032
2023-11-02,53,57.2,47.1,52.3,51.5,41.5,46.8,2023-11-02T06:04,2023-11-02T15:35,34274.93,15044.85,0.161,0.161,0.000,6.0,14.4,25.1,156,4.15,0.041
2023-11-03,3,51.9,46.2,49.2,47.6,41.5,44.4,2023-11-03T06:06,2023-11-03T15:33,34050.75,5913.43,0.000,0.000,0.000,0.0,11.1,19.0,229,3.83,0.029
2023-11-04,53,52.1,44.1,47.9,43.7,36.8,40.0,2023-11-04T06:08,2023-11-04T15:31,33828.11,26681.19,0.067,0.067,0.000,3.0,15.4,28.0,190,5.70,0.057
2023-11-05,63,54.3,46.6,49.7,48.7,39.6,42.9,2023-11-05T06:09,2023-11-05T15:30,33607.26,11511.23,0.335,0.335,0.000,11.0,18.3,32.9,204,3.16,0.033
2023-11-06,61,54.7,47.3,50.6,46.7,39.5,42.2,2023-11-06T06:11,2023-11-06T15:28,33388.45,27305.74,0.098,0.098,0.000,4.0,19.7,36.0,242,5.01,0.063
2023-11-07,3,53.4,44.0,48.2,47.1,37.8,41.5,2023-11-07T06:13,2023-11-07T15:26,33171.93,27168.48,0.000,0.000,0.000,0.0,15.5,27.5,225,5.48,0.039
2023-11-08,61,51.5,42.8,46.1,43.8,35.9,39.2,2023-11-08T06:15,2023-11-08T15:24,32957.96,13819.63,0.055,0.055,0.000,2.0,15.8,28.9,229,3.67,0.031
2023-11-09,51,53.0,43.0,48.7,45.3,36.2,41.6,2023-11-09T06:17,2023-11-09T15:23,32746.82,9377.21,0.012,0.012,0.000,2.0,13.6,23.9,197,2.84,0.047
2023-11-10,51,51.5,40.3,46.1,44.8,34.6,40.2,2023-11-10T06:19,2023-11-10T15:21,32538.79,24517.97,0.008,0.008,0.000,2.0,12.1,22.4,202,4.81,0.028
2023-11-11,51,48.4,37.7,42.1,43.8,32.1,37.1,2023-11-11T06:20,2023-11-11T15:19,32334.14,25054.09,0.028,0.028,0.000,3.0,7.3,12.5,216,5.39,0.023
2023-11-12,53,46.2,38.5,41.9,41.3,32.7,37.2,2023-11-12T06:22,2023-11-12T15:18,32133.17,10557.90,0.043,0.043,0.000,5.0,9.9,18.1,238,2.73,0.014
2023-11-13,61,49.8,35.1,42.3,42.6,29.7,36.2,2023-11-13T06:24,2023-11-13T15:16,31936.19,25730.48,0.177,0.177,0.000,5.0,15.5,26.6,186,4.85,0.023
2023-11-14,51,54.9,48.0,51.1,44.3,39.6,42.6,2023-11-14T06:26,2023-11-14T15:15,31743.13,20131.21,0.039,0.039,0.000,7.0,22.4,45.2,246,3.86,0.051
2023-11-15,53,48.8,40.5,45.6,43.4,36.0,39.5,2023-11-15T06:27,2023-11-15T15:13,31551.99,0.00,0.087,0.087,0.000,7.0,15.2,26.4,272,1.91,0.018
2023-11-16,53,47.5,35.2,42.9,39.1,29.2,36.3,2023-11-16T06:29,2023-11-16T15:12,31362.63,19934.80,0.079,0.079,0.000,5.0,15.3,28.0,245,3.94,0.024
2023-11-17,3,42.4,33.9,39.3,33.9,26.5,30.8,2023-11-17T06:31,2023-11-17T15:11,31175.29,0.00,0.000,0.000,0.000,0.0,16.3,29.5,280,1.58,0.019
2023-11-18,51,43.3,35.3,39.0,37.9,29.0,32.8,2023-11-18T06:33,2023-11-18T15:09,30990.19,22235.04,0.008,0.008,0.000,2.0,11.1,18.8,243,3.60,0.016
2023-11-19,73,52.8,38.9,45.8,45.9,30.5,38.9,2023-11-19T06:34,2023-11-19T15:08,30807.59,17728.78,0.350,0.319,0.220,17.0,16.0,28.9,219,2.96,0.020
2023-11-20,63,51.8,46.7,48.7,49.0,42.2,45.6,2023-11-20T06:36,2023-11-20T15:07,30627.72,6281.70,0.650,0.650,0.000,21.0,10.2,18.3,264,2.11,0.012
